error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,222.10400104522705,-1.0,-1.0,-9999.0,-9999,405.17120361328125,580.0,588.0,-9999.0,-9999.0,0,8,0,580.64,9.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,222.20799922943115,-1.0,-1.0,-9999.0,-9999,212.29861450195312,580.0,588.0,-9999.0,-9999.0,8,8,0,581.64,220.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,222.31199741363525,-1.0,-1.0,-9999.0,-9999,138.913818359375,580.0,588.0,-9999.0,-9999.0,16,8,0,582.64,9.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,222.41599559783936,-1.0,-1.0,-9999.0,-9999,142.70779418945312,580.0,588.0,-9999.0,-9999.0,24,8,0,583.64,12.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,222.51999378204346,-1.0,-1.0,-9999.0,-9999,58.14927291870117,580.0,588.0,-9999.0,-9999.0,32,8,0,584.64,32.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,222.6240062713623,-1.0,-1.0,-9999.0,-9999,149.4811553955078,580.0,588.0,-9999.0,-9999.0,40,8,0,585.64,44.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,222.7280044555664,-1.0,-1.0,-9999.0,-9999,165.44618225097656,580.0,588.0,-9999.0,-9999.0,48,8,0,586.64,48.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,222.8320026397705,-1.0,-1.0,-9999.0,-9999,128.63070678710938,580.0,588.0,-9999.0,-9999.0,56,8,0,587.64,31.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,222.9360008239746,-1.0,-1.0,-9999.0,-9999,83.61003112792969,580.0,588.0,-9999.0,-9999.0,64,8,0,580.64,28.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,223.04400444030762,-1.0,-1.0,-9999.0,-9999,114.11735534667969,580.0,588.0,-9999.0,-9999.0,72,8,0,581.64,25.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,223.14800262451172,-1.0,-1.0,-9999.0,-9999,66.30735778808594,580.0,588.0,-9999.0,-9999.0,80,8,0,582.64,11.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,223.25200080871582,-1.0,-1.0,-9999.0,-9999,117.07685852050781,580.0,588.0,-9999.0,-9999.0,88,8,0,583.64,32.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,223.35599899291992,-1.0,-1.0,-9999.0,-9999,62.75957489013672,580.0,588.0,-9999.0,-9999.0,96,8,0,584.64,60.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,223.45999717712402,-1.0,-1.0,-9999.0,-9999,150.54367065429688,580.0,588.0,-9999.0,-9999.0,104,8,0,585.64,25.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,223.56399536132812,-1.0,-1.0,-9999.0,-9999,205.33522033691406,580.0,588.0,-9999.0,-9999.0,112,8,0,586.64,19.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,223.66799354553223,-1.0,-1.0,-9999.0,-9999,132.17848205566406,580.0,588.0,-9999.0,-9999.0,120,8,0,587.64,10.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,223.77200603485107,-1.0,-1.0,-9999.0,-9999,183.34619140625,580.0,588.0,-9999.0,-9999.0,128,8,0,580.64,14.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,223.87600421905518,-1.0,-1.0,-9999.0,-9999,115.35005187988281,580.0,588.0,-9999.0,-9999.0,136,8,0,581.64,20.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,223.98000240325928,-1.0,-1.0,-9999.0,-9999,159.89645385742188,580.0,588.0,-9999.0,-9999.0,144,8,0,582.64,14.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,224.08700466156006,-1.0,-1.0,-9999.0,-9999,175.3401641845703,580.0,588.0,-9999.0,-9999.0,152,8,0,583.64,23.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,224.19100284576416,-1.0,-1.0,-9999.0,-9999,166.1575469970703,580.0,588.0,-9999.0,-9999.0,160,8,0,584.64,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,224.29500102996826,-1.0,-1.0,-9999.0,-9999,195.16610717773438,580.0,588.0,-9999.0,-9999.0,168,8,0,585.64,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,224.39899921417236,-1.0,-1.0,-9999.0,-9999,155.00193786621094,580.0,588.0,-9999.0,-9999.0,176,8,0,586.64,28.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,224.50299739837646,-1.0,-1.0,-9999.0,-9999,160.5227508544922,580.0,588.0,-9999.0,-9999.0,184,8,0,587.64,34.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,224.60699558258057,-1.0,-1.0,-9999.0,-9999,141.24703979492188,580.0,588.0,-9999.0,-9999.0,192,8,0,580.64,21.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,224.71099376678467,-1.0,-1.0,-9999.0,-9999,108.80474090576172,580.0,588.0,-9999.0,-9999.0,200,8,0,581.64,29.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,224.81500625610352,-1.0,-1.0,-9999.0,-9999,156.4246826171875,580.0,588.0,-9999.0,-9999.0,208,8,0,582.64,15.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,224.91900444030762,-1.0,-1.0,-9999.0,-9999,165.80641174316406,580.0,588.0,-9999.0,-9999.0,216,8,0,583.64,6.0,,b' ',,,b' ',,b' ',,b' ',b' '
